Objekt_ID;Strasse;Hausnummer;Ort;Baujahr;AfA_Typ;Sanierungsgebiet_7h;Kaufpreis;Wohnflaeche_neu_qm;Anzahl_Wohneinheiten;Sanierungskosten;Foerderfaehige_Kosten_KFW;KFW_Zuschuss_Prozent;Kommunale_Foerderung_Betrag;Grundstuecksanteil_Kaufpreis;Vermietungsstatus;Wohnflaeche_qm;Kellerflaeche_qm;Anzahl_Stellplaetze;Wohnflaeche_Bestand_qm;Anzahl_Wohneinheiten_Bestand;Objekttyp;Grundstuecksgroesse_antlg;GIK_brutto;GIK_netto;Grund_Boden;Altsubstanz;SanAnteil_brutto;SanAnteil_netto
SZ001;Breite Strasse;1;Salzgitter;1939;Denkmal;ja;174278;375.37;6;0;0;0.4;0;42150;teilvermietet;375.37;86.34;0;268.12;4;Kettenhaus;562;0;0;0;0;0;0
SZ002;Breite Strasse;3;Salzgitter;1939;Denkmal;ja;174278;375.37;6;0;0;0.4;0;42150;teilvermietet;375.37;86.34;0;268.12;4;Kettenhaus;562;0;0;0;0;0;0
SZ003;Breite Strasse;5;Salzgitter;1939;Denkmal;ja;162832;350.71;6;0;0;0.4;0;42150;leerstehend;350.71;80.66;0;250.51;4;Kettenhaus;562;0;0;0;0;0;0
SZ004;Breite Strasse;7;Salzgitter;1939;Denkmal;ja;140179;301.92;6;0;0;0.4;0;42150;leerstehend;301.92;69.44;0;215.66;4;Kettenhaus;562;0;0;0;0;0;0
SZ005;Breite Strasse;9;Salzgitter;1939;Denkmal;ja;148200;319.20;6;0;0;0.4;0;42150;leerstehend;319.2;73.42;0;228.00;4;Kettenhaus;562;0;0;0;0;0;0
SZ006;Breite Strasse;11;Salzgitter;1939;Denkmal;ja;148200;319.20;6;0;0;0.4;0;42150;teilvermietet;319.2;73.42;0;228.00;4;Kettenhaus;562;0;0;0;0;0;0
SZ007;Breite Strasse;13;Salzgitter;1939;Denkmal;ja;173836;374.42;6;0;0;0.4;0;42150;leerstehend;374.42;86.12;0;267.44;4;Kettenhaus;562;0;0;0;0;0;0
SZ008;Breite Strasse;15;Salzgitter;1939;Denkmal;ja;172796;372.18;6;0;0;0.4;0;42150;teilvermietet;372.18;85.60;0;265.84;4;Kettenhaus;562;0;0;0;0;0;0
SZ009;Breite Strasse;17;Salzgitter;1939;Denkmal;ja;173836;374.42;6;0;0;0.4;0;42150;teilvermietet;374.42;86.12;0;267.44;4;Kettenhaus;562;0;0;0;0;0;0
SZ010;Breite Strasse;19;Salzgitter;1939;Denkmal;ja;172796;372.18;6;0;0;0.4;0;42150;leerstehend;372.18;85.60;0;265.84;4;Kettenhaus;562;0;0;0;0;0;0
SZ011;Breite Strasse;29;Salzgitter;1939;Denkmal;ja;123006;264.94;6;0;0;0.4;0;42150;leerstehend;264.94;60.94;0;189.24;4;Doppel-MFH;562;0;0;0;0;0;0
SZ012;Breite Strasse;31;Salzgitter;1939;Denkmal;ja;121966;262.70;5;0;0;0.4;0;42150;leerstehend;262.7;60.42;0;187.64;3;Doppel-MFH;562;0;0;0;0;0;0
SZ013;Breite Strasse;33;Salzgitter;1939;Denkmal;ja;123006;264.94;5;0;0;0.4;0;42150;leerstehend;264.94;60.94;0;189.24;4;Doppel-MFH;562;0;0;0;0;0;0
SZ014;Breite Strasse;35;Salzgitter;1939;Denkmal;ja;121966;262.70;5;0;0;0.4;0;42150;leerstehend;262.7;60.42;0;187.64;4;Doppel-MFH;562;0;0;0;0;0;0
SZ015;Brunhildenstrasse;1;Salzgitter;1939;Denkmal;ja;107536;231.62;5;0;0;0.4;0;43050;teilvermietet;231.62;53.27;0;165.44;4;MFH;574;0;0;0;0;0;0
SZ016;Brunhildenstrasse;2;Salzgitter;1939;Denkmal;ja;130949;282.04;5;0;0;0.4;0;63150;teilvermietet;282.04;64.87;0;201.46;4;Doppel-MFH;842;0;0;0;0;0;0
SZ017;Brunhildenstrasse;3;Salzgitter;1939;Denkmal;ja;107536;231.62;5;0;0;0.4;0;43050;leerstehend;231.62;53.27;0;165.44;4;MFH;574;0;0;0;0;0;0
SZ018;Brunhildenstrasse;4;Salzgitter;1939;Denkmal;ja;130936;282.02;5;0;0;0.4;0;63150;teilvermietet;282.02;64.84;0;201.44;4;MFH;842;0;0;0;0;0;0
SZ019;Brunhildenstrasse;5;Salzgitter;1939;Denkmal;ja;107536;231.62;5;0;0;0.4;0;57975;leerstehend;231.62;53.27;0;165.44;4;MFH;773;0;0;0;0;0;0
SZ021;Brunhildenstrasse;7;Salzgitter;1939;Denkmal;ja;108186;233.02;5;0;0;0.4;0;57975;teilvermietet;233.02;53.59;0;166.44;3;MFH;773;0;0;0;0;0;0
SZ023;Brunhildenstrasse;9;Salzgitter;1939;Denkmal;ja;107536;231.62;4;0;0;0.4;0;57975;leerstehend;231.62;53.27;0;165.44;4;MFH;773;0;0;0;0;0;0
SZ024;Brunhildenstrasse;10;Salzgitter;1939;Denkmal;ja;190892;411.15;8;0;0;0.4;0;63150;teilvermietet;411.15;94.56;0;293.68;7;MFH;842;0;0;0;0;0;0
SZ025;Brunhildenstrasse;11;Salzgitter;1939;Denkmal;ja;107536;231.62;4;0;0;0.4;0;57975;leerstehend;231.62;53.27;0;165.44;3;MFH;773;0;0;0;0;0;0
SZ026;Brunhildenstrasse;12;Salzgitter;1939;Denkmal;ja;190892;411.15;8;0;0;0.4;0;63150;teilvermietet;411.15;94.56;0;293.68;6;MFH;842;0;0;0;0;0;0
SZ027;Brunhildenstrasse;13;Salzgitter;1939;Denkmal;ja;107536;231.62;4;0;0;0.4;0;57975;teilvermietet;231.62;53.27;0;165.44;3;MFH;773;0;0;0;0;0;0
SZ028;Brunhildenstrasse;14;Salzgitter;1939;Denkmal;ja;190892;411.15;8;0;0;0.4;0;63150;teilvermietet;411.15;94.56;0;293.68;6;MFH;842;0;0;0;0;0;0
SZ029;Brunhildenstrasse;15;Salzgitter;1939;Denkmal;ja;107536;231.62;4;0;0;0.4;0;57975;teilvermietet;231.62;53.27;0;165.44;3;MFH;773;0;0;0;0;0;0
SZ030;Brunhildenstrasse;16;Salzgitter;1939;Denkmal;ja;190892;411.15;8;0;0;0.4;0;63150;leerstehend;411.15;94.56;0;293.68;6;MFH;842;0;0;0;0;0;0
SZ031;Brunhildenstrasse;17;Salzgitter;1939;Denkmal;ja;107536;231.62;4;0;0;0.4;0;57975;vollvermietet;231.62;53.27;0;165.44;2;MFH;773;0;0;0;0;0;0
SZ040;Brunhildenstrasse;26;Salzgitter;1939;Denkmal;nein;65949;142.04;3;0;0;0.4;0;63150;vollvermietet;142.04;32.67;1;101.46;2;Doppel-MFH;842;0;0;0;0;0;0
SZ041;Brunhildenstrasse;27;Salzgitter;1939;Denkmal;nein;131586;283.42;5;0;0;0.4;0;57975;vollvermietet;283.42;65.19;0;202.44;4;MFH;773;0;0;0;0;0;0
SZ042;Brunhildenstrasse;28;Salzgitter;1939;Denkmal;nein;130936;282.02;5;0;0;0.4;0;63150;leerstehend;282.02;64.86;0;201.44;4;Doppel-MFH;842;0;0;0;0;0;0
SZ043;Elbestrasse;2;Salzgitter;1939;Denkmal;nein;132340;285.04;5;0;0;0.4;0;57450;teilvermietet;285.04;65.56;0;203.6;4;Kettenhaus;766;0;0;0;0;0;0
SZ044;Elbestrasse;4;Salzgitter;1939;Denkmal;nein;132340;285.04;5;0;0;0.4;0;57525;vollvermietet;285.04;65.56;0;203.6;4;Kettenhaus;767;0;0;0;0;0;0
SZ045;Elbestrasse;6;Salzgitter;1939;Denkmal;nein;132340;285.04;5;0;0;0.4;0;57525;leerstehend;285.04;65.56;0;203.6;3;Kettenhaus;767;0;0;0;0;0;0
SZ046;Elbestrasse;8;Salzgitter;1939;Denkmal;nein;132340;285.04;5;0;0;0.4;0;57525;leerstehend;285.04;65.56;0;203.6;4;Kettenhaus;767;0;0;0;0;0;0
SZ047;Elbestrasse;10;Salzgitter;1939;Denkmal;nein;132340;285.04;5;0;0;0.4;0;57525;vollvermietet;285.04;65.56;0;203.6;3;Kettenhaus;767;0;0;0;0;0;0
SZ048;Elbestrasse;11;Salzgitter;1939;Denkmal;nein;130936;282.02;5;0;0;0.4;0;55725;leerstehend;282.02;64.86;0;201.44;4;Doppel-MFH;743;0;0;0;0;0;0
SZ049;Elbestrasse;13;Salzgitter;1939;Denkmal;nein;130943;282.03;5;0;0;0.4;0;55725;leerstehend;282.03;64.87;0;201.45;4;Doppel-MFH;743;0;0;0;0;0;0
SZ050;Elbestrasse;15;Salzgitter;1939;Denkmal;ja;130949;282.04;5;0;0;0.4;0;55725;leerstehend;282.04;64.87;0;201.46;4;Doppel-MFH;743;0;0;0;0;0;0
SZ051;Elbestrasse;17;Salzgitter;1939;Denkmal;ja;130761;281.64;5;0;0;0.4;0;55725;leerstehend;281.64;64.77;0;201.17;4;Doppel-MFH;743;0;0;0;0;0;0
SZ052;Elbestrasse;19;Salzgitter;1939;Denkmal;ja;160992;346.75;8;0;0;0.4;0;51825;teilvermietet;346.75;79.75;0;247.68;6;MFH;691;0;0;0;0;0;0
SZ053;Elbestrasse;21;Salzgitter;1939;Denkmal;ja;161096;346.98;8;0;0;0.4;0;51900;teilvermietet;346.98;79.81;0;247.84;6;MFH;692;0;0;0;0;0;0
SZ054;Elbestrasse;23;Salzgitter;1939;Denkmal;nein;161096;346.98;8;0;0;0.4;0;51900;teilvermietet;346.98;79.81;0;247.84;6;MFH;692;0;0;0;0;0;0
SZ055;Elbestrasse;25;Salzgitter;1939;Denkmal;ja;161096;346.98;8;0;0;0.4;0;51900;teilvermietet;346.98;79.81;0;247.84;6;MFH;692;0;0;0;0;0;0
SZ056;Elbestrasse;27;Salzgitter;1939;Denkmal;nein;161096;346.98;8;0;0;0.4;0;51900;teilvermietet;346.98;79.81;0;247.84;6;MFH;692;0;0;0;0;0;0
SZ057;Elbestrasse;34;Salzgitter;1939;Denkmal;ja;138216;297.70;5;0;0;0.4;0;55275;teilvermietet;297.7;68.47;0;212.64;4;Kettenhaus;737;0;0;0;0;0;0
SZ058;Elbestrasse;36;Salzgitter;1939;Denkmal;nein;138216;297.70;5;0;0;0.4;0;55275;teilvermietet;297.7;68.47;0;212.64;4;Kettenhaus;737;0;0;0;0;0;0
SZ060;Emsstrasse;3;Salzgitter;1939;Denkmal;nein;130000;280.0;5;0;0;0.4;0;56850;teilvermietet;280.00;64.40;0;200.00;4;MFH;758;0;0;0;0;0;0
SZ061;Emsstrasse;5;Salzgitter;1939;Denkmal;ja;130000;280.00;5;0;0;0.4;0;56850;teilvermietet;280.00;64.40;0;200.00;4;MFH;758;0;0;0;0;0;0
SZ063;Emsstrasse;8;Salzgitter;1939;Denkmal;ja;130000;280.00;5;0;0;0.4;0;54600;leerstehend;280.00;64.40;0;200.00;4;MFH;728;0;0;0;0;0;0
SZ065;Emsstrasse;10;Salzgitter;1939;Denkmal;ja;161096;346.98;8;0;0;0.4;0;55725;teilvermietet;346.98;79.81;0;247.84;6;MFH;743;0;0;0;0;0;0
SZ066;Emsstrasse;11;Salzgitter;1939;Denkmal;nein;130000;280.00;5;0;0;0.4;0;46650;teilvermietet;280.00;64.40;0;200.00;4;MFH;622;0;0;0;0;0;0
SZ067;Emsstrasse;12;Salzgitter;1939;Denkmal;ja;161103;346.99;6;0;0;0.4;0;55725;teilvermietet;346.99;79.81;0;247.85;2;MFH;743;0;0;0;0;0;0
SZ068;Emsstrasse;13;Salzgitter;1939;Denkmal;nein;130000;280.00;5;0;0;0.4;0;46650;teilvermietet;280.00;64.40;0;200.00;4;Kettenhaus;622;0;0;0;0;0;0
SZ069;Emsstrasse;14;Salzgitter;1939;Denkmal;ja;161096;346.98;7;0;0;0.4;0;55725;teilvermietet;346.98;79.81;0;247.84;2;MFH;743;0;0;0;0;0;0
SZ070;Emsstrasse;15;Salzgitter;1939;Denkmal;nein;130000;280.00;5;0;0;0.4;0;46650;teilvermietet;280.00;64.40;0;200.00;4;Kettenhaus;622;0;0;0;0;0;0
SZ071;Emsstrasse;16;Salzgitter;1939;Denkmal;nein;161096;346.98;8;0;0;0.4;0;57150;teilvermietet;346.98;79.81;0;247.84;6;Doppel-MFH;762;0;0;0;0;0;0
SZ072;Emsstrasse;17;Salzgitter;1939;Denkmal;ja;130000;280.00;5;0;0;0.4;0;46650;leerstehend;280.00;64.40;0;200.00;4;Kettenhaus;622;0;0;0;0;0;0
SZ073;Emsstrasse;18;Salzgitter;1939;Denkmal;ja;161096;346.98;8;0;0;0.4;0;57150;teilvermietet;346.98;79.81;0;247.84;6;Doppel-MFH;762;0;0;0;0;0;0
SZ074;Emsstrasse;19;Salzgitter;1939;Denkmal;ja;130000;280.00;5;0;0;0.4;0;46650;teilvermietet;280.00;64.40;0;200.00;4;Kettenhaus;622;0;0;0;0;0;0
SZ075;Emsstrasse;20;Salzgitter;1939;Denkmal;ja;160888;346.53;6;0;0;0.4;0;57150;vollvermietet;346.53;79.70;0;247.52;2;MFH;762;0;0;0;0;0;0
SZ076;Emsstrasse;21;Salzgitter;1939;Denkmal;ja;127400;274.40;5;0;0;0.4;0;46650;teilvermietet;274.4;63.11;0;196.00;3;Kettenhaus;622;0;0;0;0;0;0
SZ077;Emsstrasse;22;Salzgitter;1939;Denkmal;ja;161096;346.98;8;0;0;0.4;0;57225;leerstehend;346.98;79.81;0;247.84;6;MFH;763;0;0;0;0;0;0
SZ078;Emsstrasse;23;Salzgitter;1939;Denkmal;ja;139100;299.60;6;0;0;0.4;0;46650;teilvermietet;299.6;68.91;0;214.00;4;Kettenhaus;622;0;0;0;0;0;0
SZ079;Emsstrasse;25;Salzgitter;1939;Denkmal;ja;161304;347.42;8;0;0;0.4;0;32325;teilvermietet;347.42;79.91;0;248.16;5;Kettenhaus;431;0;0;0;0;0;0
SZ080;Emsstrasse;27;Salzgitter;1939;Denkmal;ja;188500;406.00;8;0;0;0.4;0;32325;leerstehend;406.00;93.38;0;290.00;6;Kettenhaus;431;0;0;0;0;0;0
SZ081;Fuldastrasse;2;Salzgitter;1939;Denkmal;ja;167050;359.80;8;0;0;0.4;0;56850;leerstehend;359.8;82.75;0;257.00;6;MFH;758;0;0;0;0;0;0
SZ082;Fuldastrasse;4;Salzgitter;1939;Denkmal;ja;165100;355.60;8;0;0;0.4;0;56850;teilvermietet;355.6;81.79;0;254.00;6;MFH;758;0;0;0;0;0;0
SZ083;Fuldastrasse;6;Salzgitter;1939;Denkmal;ja;167700;361.20;8;0;0;0.4;0;56850;leerstehend;361.2;83.08;0;258.00;6;MFH;758;0;0;0;0;0;0
SZ084;Fuldastrasse;8;Salzgitter;1939;Denkmal;ja;166400;358.40;8;0;0;0.4;0;72675;teilvermietet;358.4;82.43;0;256.00;6;MFH;969;0;0;0;0;0;0
SZ085;Fuldastrasse;10;Salzgitter;1939;Denkmal;ja;166400;358.40;8;0;0;0.4;0;72675;leerstehend;358.4;82.43;0;256.00;6;MFH;969;0;0;0;0;0;0
SZ086;Fuldastrasse;12;Salzgitter;1939;Denkmal;ja;166400;358.40;8;0;0;0.4;0;72675;teilvermietet;358.4;82.43;0;256.00;6;MFH;969;0;0;0;0;0;0
SZ087;Fuldastrasse;18;Salzgitter;1939;Denkmal;ja;130000;280.00;5;0;0;0.4;0;46650;leerstehend;280.00;64.40;0;200.00;4;MFH;622;0;0;0;0;0;0
SZ088;Fuldastrasse;20;Salzgitter;1939;Denkmal;ja;130000;280.00;5;0;0;0.4;0;46650;leerstehend;280.00;64.40;0;200.00;4;MFH;622;0;0;0;0;0;0
SZ089;Fuldastrasse;22;Salzgitter;1939;Denkmal;ja;130000;280.00;5;0;0;0.4;0;46650;teilvermietet;280.00;64.40;0;200.00;4;MFH;622;0;0;0;0;0;0
SZ090;Mozartstrasse;2;Salzgitter;1939;Denkmal;ja;131118;282.41;6;0;0;0.4;0;51375;teilvermietet;282.41;64.95;0;201.72;3;MFH;685;0;0;0;0;0;0
SZ091;Mozartstrasse;4;Salzgitter;1939;Denkmal;ja;161116;347.02;8;0;0;0.4;0;51375;teilvermietet;347.02;79.81;0;247.87;5;MFH;685;0;0;0;0;0;0
SZ092;Mozartstrasse;6;Salzgitter;1939;Denkmal;ja;130936;282.00;5;0;0;0.4;0;51375;leerstehend;282.02;64.86;0;201.44;3;MFH;685;0;0;0;0;0;0
SZ093;Mozartstrasse;8;Salzgitter;1939;Denkmal;ja;161096;346.98;8;0;0;0.4;0;51375;teilvermietet;346.98;79.81;0;247.84;5;MFH;685;0;0;0;0;0;0
